month,employer_id,market,revenue,revenue_minus_direct_costs
2015-03-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,0,0
2015-03-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,0,0
2015-04-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,125,0
2015-04-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,750,50
2015-04-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,750,100
2015-04-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,500,50
2015-04-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,625,50
2015-04-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,4250,300
2015-04-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,3125.63,446.7855
2015-04-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,0,0
2015-04-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,750,0
2015-04-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,4125,500
2015-04-01,khcezEHqw5MZCSE5QdioEP08ZaI=,other,0,0
2015-04-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,500,100
2015-04-01,aWdfSOI145nxKC8lmQx4oPijCJY=,sf-bay-area,0,0
2015-04-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,190,38
2015-04-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,0,0
2015-04-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,200,40
2015-04-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,0,0
2015-04-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,0,0
2015-04-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,1500,262.5
2015-04-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,1031.25,75
2015-04-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,520,104
2015-04-01,QCPmPUJjxaDT/AUYnrvtnct9gWM=,sf-bay-area,750,150
2015-05-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,1250,100
2015-05-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,750,50
2015-05-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,0,0
2015-05-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,1500,100
2015-05-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,250,50
2015-05-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,6250,500
2015-05-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,3334.16,500.124
2015-05-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,5500,450
2015-05-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,6250,1200
2015-05-01,khcezEHqw5MZCSE5QdioEP08ZaI=,other,0,0
2015-05-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,1000,150
2015-05-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,0,0
2015-05-01,pHoyzkz6htgIqNHmbbnBRZnYT6s=,sf-bay-area,0,0
2015-05-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,190,38
2015-05-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,0,0
2015-05-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,600,120
2015-05-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,0,0
2015-05-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,1155,231
2015-05-01,tuzfaAKzZQeU6q0O8eVOyFenK1c=,sf-bay-area,200,40
2015-05-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,0,0
2015-05-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,1500,225
2015-05-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,1312.5,150
2015-05-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,1040,208
2015-06-01,csXV14Wx0sG5Kdy6y5y3eHJKcaw=,other,0,0
2015-06-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,4125,275
2015-06-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,4250,650
2015-06-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,0,0
2015-06-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,2500,450
2015-06-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,3750,300
2015-06-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,9250,1150
2015-06-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,2108.25,316.2375
2015-06-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,4500,100
2015-06-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,13500,2250
2015-06-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,2500,400
2015-06-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,800,80
2015-06-01,965rHRbGsuxKK3rax3cyc13XPIQ=,kansas city,735.3,110.295
2015-06-01,aWdfSOI145nxKC8lmQx4oPijCJY=,sf-bay-area,200,40
2015-06-01,pHoyzkz6htgIqNHmbbnBRZnYT6s=,sf-bay-area,2090,418
2015-06-01,v94kF9XOrd0craNPKiYpC0gPX+0=,sf-bay-area,190,38
2015-06-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,0,0
2015-06-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,0,0
2015-06-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,190,38
2015-06-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,0,0
2015-06-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,180,36
2015-06-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,315,63
2015-06-01,tuzfaAKzZQeU6q0O8eVOyFenK1c=,sf-bay-area,600,120
2015-06-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,200,40
2015-06-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,2718.75,543.75
2015-06-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,1500,281.25
2015-06-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,520,104
2015-06-01,jmczXpU789GdCGWuODydjlDU/EE=,sf-bay-area,800,160
2015-06-01,QCPmPUJjxaDT/AUYnrvtnct9gWM=,sf-bay-area,187.5,37.5
2015-06-01,rV264UkxMEmw6wCVxgz1Q241MF0=,sf-bay-area,270,0
2015-06-01,UvUqhcdwAqIbUymebPS37SXWyKU=,sf-bay-area,375,75
2015-06-01,CP04AW917xkURZyhqsHFOhxw9jc=,sf-bay-area,480,96
2015-06-01,EpnysZoAvJ3gxJLy+y7JrJ83wo0=,sf-bay-area,840,168
2015-06-01,0XRb+YOK5IKwzXcWL1f7otxrd/E=,sf-bay-area,0,0
2015-06-01,yfWpKX3iYDRsKspe+g/kRRT5gIM=,sf-bay-area,215,43
2015-07-01,csXV14Wx0sG5Kdy6y5y3eHJKcaw=,other,0,0
2015-07-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,7750,1250
2015-07-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,3250,500
2015-07-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,750,150
2015-07-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,1750,200
2015-07-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,3750,300
2015-07-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,12500,1800
2015-07-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,6176.52,904.419
2015-07-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,1250,150
2015-07-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,3750,50
2015-07-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,8500,950
2015-07-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,2000,350
2015-07-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,2000,320
2015-07-01,965rHRbGsuxKK3rax3cyc13XPIQ=,kansas city,882.36,132.354
2015-07-01,v94kF9XOrd0craNPKiYpC0gPX+0=,sf-bay-area,1710,342
2015-07-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,1330,266
2015-07-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,0,0
2015-07-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,1710,304
2015-07-01,9Jg3aKBW8Ay7Z5E1CzauDtzP6Ks=,sf-bay-area,492,98.4
2015-07-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,200,40
2015-07-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,360,72
2015-07-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,3780,756
2015-07-01,tuzfaAKzZQeU6q0O8eVOyFenK1c=,sf-bay-area,400,80
2015-07-01,5erh9EtL8owNxrK/h6NP+ND/UO8=,sf-bay-area,100,20
2015-07-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,1400,280
2015-07-01,vE4aVJt47hK10P37foSb/emIg7k=,sf-bay-area,4400,840
2015-07-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,3750,750
2015-07-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,1968.75,300
2015-07-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,0,0
2015-07-01,jmczXpU789GdCGWuODydjlDU/EE=,sf-bay-area,200,40
2015-07-01,QCPmPUJjxaDT/AUYnrvtnct9gWM=,sf-bay-area,187.5,37.5
2015-07-01,CP04AW917xkURZyhqsHFOhxw9jc=,sf-bay-area,1680,336
2015-07-01,EpnysZoAvJ3gxJLy+y7JrJ83wo0=,sf-bay-area,2100,420
2015-07-01,PXKbqQcqE7irKkhePGQ9iSeWiJY=,sf-bay-area,645,129
2015-07-01,t/tPkmM5/9D2IWDhxWzUnms8now=,sf-bay-area,0,0
2015-07-01,0XRb+YOK5IKwzXcWL1f7otxrd/E=,sf-bay-area,480,96
2015-07-01,yfWpKX3iYDRsKspe+g/kRRT5gIM=,sf-bay-area,2580,516
2015-07-01,9Mewyi2ZGxQxEInpoG3h6RWaIhY=,sf-bay-area,0,0
2015-07-01,GJoo5tN76WIjT+e9Ak7aCjJPiao=,sf-bay-area,420,84
2015-07-01,Fuf+ahNMC16Cx7r/FZgr6/8eaJI=,sf-bay-area,200,40
2015-07-01,nAhDY5loVW2GPiDr2cPkiZxJvN8=,sf-bay-area,175,35
2015-08-01,csXV14Wx0sG5Kdy6y5y3eHJKcaw=,other,0,0
2015-08-01,/iMlfCSi7nE7DfqAEG1+4xTSGyY=,other,0,0
2015-08-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,2500,300
2015-08-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,500,100
2015-08-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,1250,200
2015-08-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,500,100
2015-08-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,3500,300
2015-08-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,1750,50
2015-08-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,8750.08,1268.394
2015-08-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,3250,350
2015-08-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,7125,550
2015-08-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,6875,1225
2015-08-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,2000,400
2015-08-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,3200,480
2015-08-01,965rHRbGsuxKK3rax3cyc13XPIQ=,kansas city,1764.72,264.708
2015-08-01,v94kF9XOrd0craNPKiYpC0gPX+0=,sf-bay-area,1425,247
2015-08-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,2660,494
2015-08-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,380,38
2015-08-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,2090,418
2015-08-01,9Jg3aKBW8Ay7Z5E1CzauDtzP6Ks=,sf-bay-area,492,98.4
2015-08-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,2000,320
2015-08-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,0,0
2015-08-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,3150,630
2015-08-01,tuzfaAKzZQeU6q0O8eVOyFenK1c=,sf-bay-area,200,40
2015-08-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,1100,200
2015-08-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,4125,825
2015-08-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,4406.25,881.25
2015-08-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,260,52
2015-08-01,jmczXpU789GdCGWuODydjlDU/EE=,sf-bay-area,400,80
2015-08-01,UvUqhcdwAqIbUymebPS37SXWyKU=,sf-bay-area,187.5,37.5
2015-08-01,EpnysZoAvJ3gxJLy+y7JrJ83wo0=,sf-bay-area,6510,1302
2015-08-01,0XRb+YOK5IKwzXcWL1f7otxrd/E=,sf-bay-area,3650,687
2015-08-01,yfWpKX3iYDRsKspe+g/kRRT5gIM=,sf-bay-area,1880,290
2015-08-01,9Mewyi2ZGxQxEInpoG3h6RWaIhY=,sf-bay-area,5890,1178
2015-08-01,GJoo5tN76WIjT+e9Ak7aCjJPiao=,sf-bay-area,210,42
2015-08-01,oWC9dv1uuKqebGC5AtaRNTZayxs=,sf-bay-area,2420,484
2015-08-01,3dGtpOm0Jl2utYqiitxu3eYlCdo=,sf-bay-area,656.25,131.25
2015-08-01,Fuf+ahNMC16Cx7r/FZgr6/8eaJI=,sf-bay-area,5700,160
2015-08-01,E92CvKS1kXnU/SFhuf8d5sfcyvg=,sf-bay-area,1600,160
2015-08-01,ZDUhmjBlZnMY8dXsRuNdqIxyONg=,sf-bay-area,3200,160
2015-08-01,nAhDY5loVW2GPiDr2cPkiZxJvN8=,sf-bay-area,4025,805
2015-08-01,i3Wld8/ZkYm7wSn0PUGh/jNPs+s=,sf-bay-area,350,70
2015-08-01,aCPVb/SU8DKZwTm3QL9w0MdCrPo=,sf-bay-area,3230,418
2015-08-01,Dog5uOJE+0LPrFfxcjyLkOSmr4E=,sf-bay-area,0,0
2015-08-01,clhZUiN2qiQCpcCh5DvzzRulWuM=,sf-bay-area,580,96
2015-08-01,cxI6rd2HTinRS6WowDepBnI5tY8=,sf-bay-area,375,75
2015-08-01,AiIAiJGpDSCUHEkTm/kPhgXSa+w=,sf-bay-area,0,0
2015-09-01,csXV14Wx0sG5Kdy6y5y3eHJKcaw=,other,0,0
2015-09-01,/iMlfCSi7nE7DfqAEG1+4xTSGyY=,other,0,0
2015-09-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,2500,300
2015-09-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,3500,650
2015-09-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,2500,400
2015-09-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,1250,100
2015-09-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,6750,550
2015-09-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,6500,1050
2015-09-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,10183.91,1527.5865
2015-09-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,5750,500
2015-09-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,11250,1500
2015-09-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,4500,750
2015-09-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,750,150
2015-09-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,4200,520
2015-09-01,965rHRbGsuxKK3rax3cyc13XPIQ=,kansas city,5294.16,794.124
2015-09-01,v94kF9XOrd0craNPKiYpC0gPX+0=,sf-bay-area,380,76
2015-09-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,2470,418
2015-09-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,380,38
2015-09-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,1900,342
2015-09-01,9Jg3aKBW8Ay7Z5E1CzauDtzP6Ks=,sf-bay-area,246,49.2
2015-09-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,800,120
2015-09-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,540,108
2015-09-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,1260,210
2015-09-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,800,160
2015-09-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,2812.5,562.5
2015-09-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,2343.75,450
2015-09-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,3640,728
2015-09-01,jmczXpU789GdCGWuODydjlDU/EE=,sf-bay-area,3200,600
2015-09-01,QCPmPUJjxaDT/AUYnrvtnct9gWM=,sf-bay-area,0,0
2015-09-01,CP04AW917xkURZyhqsHFOhxw9jc=,sf-bay-area,720,144
2015-09-01,EpnysZoAvJ3gxJLy+y7JrJ83wo0=,sf-bay-area,2520,462
2015-09-01,0XRb+YOK5IKwzXcWL1f7otxrd/E=,sf-bay-area,1605,321
2015-09-01,yfWpKX3iYDRsKspe+g/kRRT5gIM=,sf-bay-area,1660,332
2015-09-01,9Mewyi2ZGxQxEInpoG3h6RWaIhY=,sf-bay-area,6255,1251
2015-09-01,7W1iFN4qd0hmbnctR27G5NS6tzA=,sf-bay-area,200,40
2015-09-01,oWC9dv1uuKqebGC5AtaRNTZayxs=,sf-bay-area,2940,588
2015-09-01,3dGtpOm0Jl2utYqiitxu3eYlCdo=,sf-bay-area,1859.38,371.876
2015-09-01,Fuf+ahNMC16Cx7r/FZgr6/8eaJI=,sf-bay-area,5000,160
2015-09-01,E92CvKS1kXnU/SFhuf8d5sfcyvg=,sf-bay-area,2400,120
2015-09-01,ZDUhmjBlZnMY8dXsRuNdqIxyONg=,sf-bay-area,2400,40
2015-09-01,nAhDY5loVW2GPiDr2cPkiZxJvN8=,sf-bay-area,4550,910
2015-09-01,i3Wld8/ZkYm7wSn0PUGh/jNPs+s=,sf-bay-area,725,145
2015-09-01,aCPVb/SU8DKZwTm3QL9w0MdCrPo=,sf-bay-area,2960,554
2015-09-01,Dog5uOJE+0LPrFfxcjyLkOSmr4E=,sf-bay-area,175,35
2015-09-01,clhZUiN2qiQCpcCh5DvzzRulWuM=,sf-bay-area,2570,342
2015-09-01,cxI6rd2HTinRS6WowDepBnI5tY8=,sf-bay-area,2125,425
2015-09-01,AiIAiJGpDSCUHEkTm/kPhgXSa+w=,sf-bay-area,0,0
2015-09-01,kcOMtFYSRqMHb9k1T7Ry9WlKDX0=,sf-bay-area,525,35
2015-09-01,jExdMkxJ2LS4Kz2ZblIRkur83SQ=,sf-bay-area,330,44
2015-09-01,FhlRZ4No3UibFYcwWNfYotgshag=,sf-bay-area,200,40
2015-09-01,jqhS0o1eKWa8/ovc+DSnv3xE/Lo=,sf-bay-area,220,44
2015-09-01,GxdJod9SlpdPdSqTRkPhw6K69Zk=,sf-bay-area,220,44
2015-10-01,csXV14Wx0sG5Kdy6y5y3eHJKcaw=,other,0,0
2015-10-01,ldW+l2PmzbyDN38Q2cKswMNO6k0=,sf-bay-area,3250,550
2015-10-01,6b8e086+uF3yjICwYmkyjStkr2Y=,sf-bay-area,5000,800
2015-10-01,s+CNdbBIjHYCYnme96WpO13N5Tk=,sf-bay-area,500,100
2015-10-01,cbQNhmRdP2lNObiZKtUrBZ6k7RE=,sf-bay-area,1375,175
2015-10-01,FXttqP7Xc1aszlvwJl0MKK+ez7U=,sf-bay-area,6500,500
2015-10-01,9chMy7swbDZ3sqaDCqLlLUQDsMY=,sf-bay-area,3500,400
2015-10-01,2Czp7jMJaP+kqs/ktCOgK/+UfeM=,kansas city,10110.39,1494.4995
2015-10-01,UxlYqhQKOQdMA+eASb2reWDzhx0=,sf-bay-area,5500,950
2015-10-01,3laXJ20VXJNgfEa0zEbBnjD3Cos=,sf-bay-area,9250,1750
2015-10-01,nHCU9OfsFRequzQshFD1qypEJVc=,sf-bay-area,8750,1700
2015-10-01,U2MYPyQmEYO6IuFJkhyj12xO1fY=,sf-bay-area,2250,400
2015-10-01,uDICpnpBkHTID3oJw6CsFew4ZBY=,sf-bay-area,6400,1080
2015-10-01,965rHRbGsuxKK3rax3cyc13XPIQ=,kansas city,7353,1058.832
2015-10-01,v94kF9XOrd0craNPKiYpC0gPX+0=,sf-bay-area,760,152
2015-10-01,GBGAeg8pElaBLjSQ8ESLmjrmWlk=,sf-bay-area,1710,342
2015-10-01,54UJ0Ng/iDiCUzX5jCWI08srn7s=,sf-bay-area,1330,266
2015-10-01,0fH2wIl4aquahD1CeEoT5tnFBSI=,sf-bay-area,3230,646
2015-10-01,9Jg3aKBW8Ay7Z5E1CzauDtzP6Ks=,sf-bay-area,246,49.2
2015-10-01,JLGtx1rVsXPxoTogrQ0YCRVi9Kc=,sf-bay-area,2200,440
2015-10-01,reeh+9kL/yr34ovWN84LHQ2/L/8=,sf-bay-area,1080,216
2015-10-01,FJ9iKcMqy7dC6hhgtxiPjIjMIAk=,sf-bay-area,2310,420
2015-10-01,tuzfaAKzZQeU6q0O8eVOyFenK1c=,sf-bay-area,200,40
2015-10-01,hw1fzZYvfkNhFCa7KpHulU6WTRo=,sf-bay-area,800,160
2015-10-01,vE4aVJt47hK10P37foSb/emIg7k=,sf-bay-area,0,0
2015-10-01,u/cFxrCsbcst2xHP/H8xp3TK4+w=,sf-bay-area,5812.5,1125
2015-10-01,MFBC8n35ObNFuVjIH7SDRacCidM=,sf-bay-area,5250,993.75
2015-10-01,dyr4nQitIYZS7V2RrxB6IjB30N4=,sf-bay-area,1560,312
2015-10-01,jmczXpU789GdCGWuODydjlDU/EE=,sf-bay-area,1400,200
2015-10-01,EpnysZoAvJ3gxJLy+y7JrJ83wo0=,sf-bay-area,2520,504
2015-10-01,t/tPkmM5/9D2IWDhxWzUnms8now=,sf-bay-area,320,64
2015-10-01,0XRb+YOK5IKwzXcWL1f7otxrd/E=,sf-bay-area,4055,811
2015-10-01,yfWpKX3iYDRsKspe+g/kRRT5gIM=,sf-bay-area,2255,451
2015-10-01,9Mewyi2ZGxQxEInpoG3h6RWaIhY=,sf-bay-area,7045,1377
2015-10-01,7W1iFN4qd0hmbnctR27G5NS6tzA=,sf-bay-area,600,80
2015-10-01,GJoo5tN76WIjT+e9Ak7aCjJPiao=,sf-bay-area,0,0
2015-10-01,oWC9dv1uuKqebGC5AtaRNTZayxs=,sf-bay-area,4310,862
2015-10-01,3dGtpOm0Jl2utYqiitxu3eYlCdo=,sf-bay-area,1093.75,175
2015-10-01,Fuf+ahNMC16Cx7r/FZgr6/8eaJI=,sf-bay-area,5700,360
2015-10-01,E92CvKS1kXnU/SFhuf8d5sfcyvg=,sf-bay-area,2900,200
2015-10-01,ZDUhmjBlZnMY8dXsRuNdqIxyONg=,sf-bay-area,2900,300
2015-10-01,nAhDY5loVW2GPiDr2cPkiZxJvN8=,sf-bay-area,175,35
2015-10-01,i3Wld8/ZkYm7wSn0PUGh/jNPs+s=,sf-bay-area,7225,1445
